,head,tail,year
265,857855,1091491,2017
266,1507615,1581908,2017
267,936528,1448301,2017
268,1576940,1572684,2017
269,732717,1574460,2017
270,1102112,1543643,2017
271,1018724,1093691,2017
272,356309,91928,2017
273,1288469,753568,2017
274,1628908,1157377,2017
275,1592386,1569391,2017
276,890821,918581,2017
277,1070154,910322,2017
278,1645590,1452751,2017
279,849399,1370880,2017
280,1464790,1371446,2017
281,859737,885306,2017
282,703361,1432150,2017
283,1578845,1415336,2017
284,103145,909791,2017
285,1601046,1120295,2017
286,802681,922487,2017
287,1466026,1019650,2017
288,732712,1091667,2017
289,217346,719866,2017
290,1356090,934473,2017
291,1115055,1210227,2017
292,59478,1348649,2017
293,72207,880115,2017
294,917520,892160,2017
295,887343,1084717,2017
296,749251,1066104,2017
297,65011,1591517,2017
298,1084752,1380393,2016
299,1505155,1020579,2017
300,90498,914374,2017
301,1325670,1047170,2017
302,1028918,921547,2017
303,1452857,709804,2017
304,1131554,1488075,2017
305,1304421,1062613,2017
306,96943,1030206,2017
307,76334,20740,2017
308,1357671,1162896,2016
309,1493594,711065,2017
310,849399,1383871,2017
311,860413,865911,2017
312,50104,1339048,2017
313,910606,1042810,2017
314,913142,854775,2016
315,796343,1449278,2016
316,932696,1056923,2017
317,1062231,1114999,2017
318,4127,310568,2016
319,1537435,1378706,2017
320,18926,794323,2017
321,1514705,1555538,2016
322,1393818,1082754,2017
323,804328,1413447,2016
324,33213,919721,2020
325,1513965,1523404,2017
326,723188,726517,2017
327,1176316,914138,2017
328,1137411,861361,2017
329,732717,1105705,2018
330,56873,865436,2016
331,712537,1025877,2017
332,318154,879407,2016
333,885725,1623919,2016
334,1635718,1413898,2016
335,1261694,1226308,2016
336,1578845,1311596,2016
337,1578845,1157602,2016
338,1492426,1070698,2016
339,880771,812796,2016
340,707886,1096654,2017
341,1061219,107263,2016
342,313616,1037760,2016
343,895728,1373835,2017
344,1492915,719220,2017
345,1378992,785787,2017
346,946647,1009976,2017
347,78003,1011835,2016
348,729986,1060523,2017
349,97745,1110803,2016
350,723254,39648,2017
351,912595,903127,2016
352,1012620,831968,2016
353,1645590,1316625,2016
354,777676,1117106,2016
355,920148,1076481,2016
356,6281,791907,2017
357,1411494,941604,2016
358,37808,1366367,2017
359,1004702,1298716,2016
360,108772,29669,2016
361,78003,1385228,2016
362,1103982,47111,2016
363,929351,1507934,2016
364,1411494,1566897,2016
365,1635718,1297336,2016
366,1378946,754673,2017
367,1039065,5768,2016
368,811589,1127160,2017
369,1318605,1408356,2016
370,887921,95052,2016
371,827809,1338042,2016
372,895930,1578318,2016
373,1175609,918386,2016
374,1300514,1174922,2016
375,789019,1271024,2016
376,1136869,1348324,2016
377,1302324,1528610,2017
378,1108524,1301031,2016
379,811808,723594,2017
380,1232524,1327467,2016
381,54507,1143068,2018
382,97745,914329,2016
383,719413,66649,2016
384,1287750,817473,2017
385,797468,6769,2016
386,1006837,821026,2016
387,78003,1411158,2016
388,1033905,1105184,2016
389,1018724,1135185,2016
390,1478242,1595262,2016
391,203596,933590,2016
392,777676,1412043,2016
393,25232,729237,2016
394,1424454,1088825,2016
395,840489,807884,2016
396,1800,203077,2017
397,777676,1565337,2016
398,700565,1357971,2016
399,1635718,1593195,2016
400,1170534,1010552,2016
401,1043219,1419521,2016
402,24741,1122342,2016
403,1157647,1355786,2016
404,1009626,1294016,2016
405,857855,1178409,2016
406,1574774,1307752,2016
407,89800,102741,2017
408,21510,1019361,2016
409,1411494,35214,2016
410,1411494,1489979,2016
411,1166691,101984,2016
412,72971,4962,2016
413,1411579,799088,2016
414,1031623,215419,2016
415,1428205,1552890,2016
416,1467760,1515980,2016
417,92122,882154,2016
418,1049502,225263,2016
419,773840,101829,2016
420,1411494,1546640,2016
421,1143155,1442741,2016
422,1039399,864559,2016
423,1800,1145460,2017
424,715957,751652,2016
425,1115055,1616297,2016
426,49196,354869,2016
427,19612,1360683,2016
428,820318,940332,2016
429,1318220,1057058,2016
430,707179,885322,2016
431,97745,913077,2016
432,1102392,1490630,2016
433,1004702,1411303,2016
434,1335258,1553588,2015
435,1123360,1144354,2016
436,814453,895655,2016
437,29915,30554,2017
438,730255,355777,2016
439,102212,1359111,2016
440,813762,77449,2016
441,1128361,1285224,2016
442,310158,1416792,2015
443,1562401,1548981,2016
444,1452857,1060824,2015
445,314489,1062438,2016
446,1613665,881790,2016
447,1619551,1023844,2015
448,1109242,1128361,2015
449,1479750,764811,2016
450,9892,17485,2016
451,320193,1372612,2015
452,1260221,99359,2016
453,1097864,1036960,2016
454,16875,702165,2015
455,1048286,316206,2016
456,1393818,70866,2015
457,891103,1491778,2015
458,106535,849213,2016
459,1324424,1366684,2015
460,1389170,1379661,2016
461,936402,907562,2016
462,318833,54441,2016
463,91576,1051741,2016
464,910073,910322,2015
465,57528,1320947,2016
466,1618921,84129,2015
467,890821,1017968,2015
468,30371,78460,2016
469,714395,1015593,2016
470,1013606,1432732,2016
471,707549,319201,2015
472,106040,1000180,2016
473,310568,767920,2016
474,6281,743316,2015
475,1551739,1503063,2016
476,1366367,714530,2016
477,1002638,880562,2015
478,53669,1289308,2015
479,1349929,1124608,2015
480,1507277,1373525,2016
481,351569,1071264,2016
482,19617,1163302,2015
483,1158172,800458,2016
484,1142417,216539,2017
485,791915,872448,2015
486,1316360,1324245,2015
487,1323639,1459266,2015
488,1508655,1259429,2015
489,818479,1014507,2016
490,1514991,1507934,2015
491,1166003,23675,2015
492,936402,1428522,2015
493,29002,1001426,2015
494,885590,836429,2015
495,1527166,921503,2015
496,87347,941548,2016
497,92122,1004155,2016
498,101829,72423,2015
499,1137789,1042783,2015
500,92230,700733,2016
501,1210227,1083689,2016
502,354963,1328571,2016
503,1067983,79958,2016
504,1337619,1161315,2015
505,879215,1379895,2015
506,51143,944765,2015
507,50104,48039,2015
508,1005229,751085,2015
509,203077,350907,2015
510,945436,1607716,2015
511,816284,1463729,2015
512,1552000,1166036,2015
513,908255,1046859,2015
514,885590,852564,2015
515,1065696,728303,2015
516,1492426,1005201,2015
517,1071739,916085,2016
518,896159,20171,2016
519,1297587,1287701,2015
520,712534,855574,2016
521,816284,1594864,2015
522,885590,1555280,2015
523,791770,1091801,2015
524,1156039,701221,2015
525,1436425,1392562,2015
526,731766,1122304,2015
527,878560,85974,2015
528,944809,792641,2015
529,1283699,1001082,2015
530,50863,768251,2015
531,1411494,899723,2015
532,1441634,1054374,2016
533,1262039,1167294,2015
534,356028,1313911,2015
535,1398659,1040426,2015
536,1384072,1364541,2015
537,64803,353230,2015
538,1498301,874214,2015
539,1441634,743988,2015
540,791915,854701,2015
541,313616,75829,2015
542,732712,1468516,2015
543,72207,1340282,2015
544,827054,932111,2015
545,1038205,1365997,2015
546,1136352,1304464,2015
547,899866,911326,2015
548,78814,1277141,2015
549,936395,1391636,2015
550,1006837,1141299,2015
551,3197,1422862,2015
552,1587523,1201663,2015
553,857855,706874,2015
554,1210618,1140310,2015
555,1551739,1477968,2015
556,1326200,1474042,2015
557,1067983,1616862,2015
558,1507615,1576044,2015
559,1351541,1325955,2015
560,1611983,1091667,2016
561,818686,1454189,2015
562,731766,1363851,2015
563,1492426,1386858,2015
564,1519751,1582616,2015
565,936402,1048477,2015
566,719413,1404592,2015
567,310568,880446,2015
568,818686,1557421,2015
569,1593034,1009356,2015
570,862692,1289496,2015
571,1212545,1304740,2015
572,1063761,912242,2015
573,4281,1068717,2015
574,1551152,949699,2015
575,828944,1373079,2015
576,47217,1173752,2015
577,1015328,1123735,2015
578,1170534,1361470,2015
579,1390162,1003961,2015
580,1102112,1329799,2015
581,1413447,1392522,2015
582,723188,1485001,2015
583,1308161,1437107,2015
584,1556593,1513161,2015
585,1324424,1394159,2015
586,202058,1524471,2015
587,29669,25212,2015
588,78003,1274057,2015
589,1288469,1227930,2015
590,1239819,869986,2015
591,1402436,1002225,2015
592,855658,1003214,2015
593,1159297,230498,2015
594,1140859,1323974,2015
595,936402,890465,2015
596,95953,31107,2015
597,50863,1463972,2015
598,1011006,1430602,2015
599,778164,1285043,2015
600,1496631,1513971,2015
601,858339,1575879,2017
602,894237,890846,2015
603,215466,1342854,2015
604,1471265,737210,2015
605,1380393,827230,2015
606,715072,1493491,2015
607,1185348,1185348,2014
608,310158,912183,2015
609,1002638,1062478,2015
610,1084048,1340127,2014
611,753308,354707,2014
612,1449792,1080398,2014
613,791915,1322705,2015
614,1578845,850693,2015
615,1210227,921590,2015
616,45012,808362,2014
617,791770,900349,2014
618,46080,1297401,2014
619,92230,700863,2015
620,844856,1504937,2015
621,1108134,1375320,2015
622,1244937,1371781,2015
623,920148,1023131,2015
624,19612,1169769,2015
625,203596,872835,2015
626,707388,1054102,2014
627,1492658,1137861,2015
628,720500,840883,2015
629,1170534,1388133,2014
630,1046257,739608,2015
631,1389170,1347218,2015
632,1379661,1092914,2015
633,16875,277948,2014
634,799165,351231,2015
635,1578845,1544116,2014
636,10795,1457543,2015
637,1061219,1516007,2014
